X,Y,osm_id,amenity,addr:housenumber,name,brand,operator,shop,addr:housename,layer,sport,historic,building,website,cuisine,payment:mastercard,payment:american_express,capacity,addr:city,payment:cash,addr:postcode,description,outdoor_seating,opening_hours,payment:visa,delivery,phone,payment:debit_cards,takeaway,smoking,payment:credit_cards,email,addr:street,brand:wikidata,brand:wikipedia,llbo,addr:province,addr:country,contact:facebook,wheelchair:description,wheelchair,microbrewery,diet:vegan,diet:gluten_free,addr:unit,name:en,internet_access,diet:halal,Payments,year,name:ko,level,alt_name,internet_access:fee,drink,indoor_seating,name_1,catering,old_name,cuisine_1,cuisine_2,hst_number,payment:interac,payment:discover_card,facebook,name:ru,air_conditioning,diet,diet:vegetarian,addr:hamlet,short_name,dine_in,opendata:type,official_name,type,toilets:wheelchair,payment:bitcoin,diet:pescetarian,diet:meat,bar,stars,reservation,unit,addr:building,source_1,drive_through,gst_number,capacity:indoors,capacity:outdoors,not:name,addr:place,owner,stars:system,name:vi,stars:date,payment:coins,payment:coinkite,name:fr,url,fax,opening_hours:url,entrance,est_date,name:zh,max_occupancy,addr:subdistrict,toilets,toilets:access,wikipedia,wikidata,atm,vacant,floor,brewery,building:levels,wikipedia:en,start_date,store_ref,opening_hours:delivery,parking,store_name,opening_hours:signed,seating,barbecue,halal,int_name,designation,contact:yellowpages,payment:notes,contact:yelp,nudism
-79.8972593,43.332741,5509370519,restaurant,64,Symposium Cafe Restaurant & Lounge,,,,,,,,,https://symposiumcafe.com/locations/waterdown-restaurants,"breakfast;burger;dessert;regional;coffee_shop;american;sandwich;seafood;international",yes,yes,200,Waterdown,yes,L0R 2H6,"BREAKFAST, BRUNCH, BURGERS, DESSERTS & MORE",yes,"Su-Th 08:00-24:00, Fr-Sa 08:00-01:00",yes,yes,+1-905-645-0107,yes,yes,no,yes,symposium.waterdown@symposiumcafe.com,Hamilton Street North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.828733,43.342672,2168883185,restaurant,1250,Le Chinois,,,,,,,,,,chinese,,,,Burlington,,,,,,,,,,,,,,Brant Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8285759,43.3426141,1867488097,restaurant,1250,Halibut N Malt Fish and Chips,,,,,,,,,,fish_and_chips,,,,Burlington,,,,,,,,,,,,,,Brant Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8280074,43.3474498,3364119565,restaurant,2029,Mount Royal Family Restaurant,,,,,,,,,,breakfast,,,,Burlington,,L7P 1X7,,,,,,,,,,,,Mount Forest Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8200038,43.330786,3364104011,restaurant,1235,Sunset Grill,Sunset Grill,,,,,,,,,american,,,,Burlington,,,,,06:30-15:30,,,+1-905-633-6868,,,,,,Fairview Street,Q62112489,en:Sunset Grill (Canadian restaurant chain),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8174338,43.3388586,1597735280,restaurant,2011,Imi Japanese Cuisine,,,,,,,,,,japanese,,,,,,L7R 3R3,,,,,,,,,,,,Plains Road East,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8151438,43.3349028,3445378302,restaurant,1881,Mandarin,,,,,,,,,,chinese,,,,Burlington,,L7S 2K4,,,,,,,,,no,,,Fairview Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8061661,43.4058264,7059201045,restaurant,2475,Freshii,Freshii,,,,,,,,,salad,,,,Burlington,,L7L 0B6,,,,,,,,,,,,Appleby Line,Q5503051,en:Freshii,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8050667,43.4060612,7403032517,restaurant,2435,Osmow's,,,,,,,,,,,,,,Burlington,,L7L 0B6,,,,,,,,,,,,Appleby Line,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8062064,43.40747,7412745177,restaurant,2535,Chopped Leaf,,,,,,,,,,,,,,Burlington,,L7L 0B6,,,,,,,,,,,,Appleby Line A2,,,,ON,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
